2000	空我	kuugga	男	27	1	94	91	89	274
2001	亚极陀	Agito	男	24	1	91	84	87	262
2002	龙骑	Ryuki	男	25	1	67	84	77	228
2003	555	Faiz	男	23	1	81	79	85	245
2004	剑	Blade	男	22	1	83	76	90	249
2005	响鬼	Hibiki	男	28	1	81	92	88	261
2006	甲斗王	Kabuto	男	26	1	96	96	96	288
2007	电王	Den-O	男	21	1	82	79	86	247
2008	月骑	Kiva	男	19	1	89	92	93	274
2009	帝骑	Decade	男	20	1	91	96	92	279
2010	双骑	W	男	21	2	94	89	97	280
2011	欧兹	OOO	男	22	2	74	77	79	230
2012	卌骑	Fourze	男	23	2	81	76	83	240
2013	巫骑	Wizeard	男	24	2	84	82	85	251
2014	铠武	Gaim	男	25	2	74	79	73	226
2015	驰骑	Drive	男	27	2	86	79	97	262
2016	灵骑	Ghost	男	21	2	91	88	87	266
2017	艾克赛德	Ex-Aid	男	22	2	95	94	97	286
2018	创骑	Build	男	20	2	97	99	96	292
2019	时王	Zi-O	男	18	2	99	99	99	297
2020	零一	ZearOne	男	23	3	84	87	89	260
2021	圣刃	Saber	男	25	3	86	85	88	259
1	aaaa	aaaa	A	12	22	33	33	33	99
